MESSAGE,RESPONSE
"Why were professional sports created ?
","Professional sports were invented for entertainment and skills .
"
"Do sports require the input of knowledge and mathematics ?
","Yes , math is crucial during sport games and players have to know the rules of the game to play correctly .
"
"Who is Stephen Curry ?
","Wardell Stephen Curry is an all-star player for the Golden State Warriors and has won numerous awards such as the MVP award .
"
"Who is Lebron James ?
","Lebron James is a small forward for the Cleveland Cavaliers and has won numerous awards .
"
"Who is Kobe Bryant ?
","Kobe Bean Bryant is a retired point guard for the Los Angeles Lakers .
"
"Who is Michael Jordan ?
","Michael Jordan is a retired point guard for the Chicago Bulls and is known for being the best player in NBA history .
"
"Who is Kyrie Irving ?
","Kyrie Andrew Irving is a point guard for the Cleveland Cavaliers .
"
"Who is James Harden ?
","James Harden is a point guard for the Houston Rockets .
"
"Who is Kevin Durant ?
","Kevin Durant is a small forward for the Golden State Warriors .
"
"Who was Babe Ruth ?
","Babe Ruth was a professional baseball player but unfortunately used steroids and died of Esophageal Cancer .
"
"Who was Jackie Robinson ?
","Jackie Robinson was a professional baseball player and broke the color barrier for blacks in baseball .
"
"Who was Lou Gehrig ?
","Lou Gehrig was a professional baseball player and played 17 seasons with the New York Yankees .
"
"What is a whole note in a script of music ?
","A whole note is worth 4 beats and takes up a whole measure .
"
"How many steps are in an octave ?
","An octave has 8 whole steps or 16 half steps .
"
"What is a half note in music ?
","A half note is worth 2 beats and takes up half the measure .
"
"What is a quarter note in music ?
","A quarter note is worth 1 beat and is the basis for music .
"
"How many beats is an eight note ?
","An eight note is worth one half of a beat .
"
"Who is Beethoven ?
","Ludwig van Beethoven is a musical composer that created many famous songs like Moonlight Sonata , and Fur Elise .
"
"Who is Franz Liszt ?
","Franz Liszt is a composer of rhapsodies and many other types of music .
"
"Who is Edvard Grieg ?
","Edvard Grieg is a Norwegian Composer and is known for composing several waltzes .
"
"Is music complex to learn ?
","Yes , but it gets easier as you master the basics .
"
"What are some famous instruments ?
","Just name a few : piano , violin , drums , guitar , and so on .
"
"Is playing a string instrument harder than other instruments ?
","It depends on the person playing the instrument .
"
"What are some famous guitar songs ?
","Just name a few : And I Love Her , Stairway to Heaven , Hotel California , Green Sleeves , etc .
"
"Do you like music ?
","Yes , it relieves stress and helps me calm down .
"
"What kind of instrument do you enjoy playing the most ?
","I enjoy playing the piano the most .
"
"What is a pedal in music ?
","A pedal is a button attached to the piano in which your feet have to press on to work .
"
"What is a slur in music ?
","A slur is when two notes are tied together .
"
"What is a repeat sign ?
","A repeat sign is a sign used at the end of a specific measure that tells where to repeat from .
"
"Is it raining outside ?
","Yes , it 's raining cats and dogs .
"
"I have a test tomorrow .
","Wow , break a leg man .
"
"Why were you not at school yesterday ?
","I was sick as a dog .
"
"You do n't look good . Are you drunk ?
","Yes , I am as high as a kite .
"
"Do you realize what you have just done ?
","Yes , I have to pay the piper now .
"
"Who messed this up ? Is that you who did that ?
","You just barked up the wrong tree .
"
"Do you know what happened in our school yesterday night ?
","It must be out of the blue .
"
"Why did you do that ? Everybody knows you now .
","Yeah , I love being in the spotlight .
"
"Can you stop jumping the gun ?
","No , I 'm an early bird .
"
"We will definitely win .
","Do not count your eggs before they hatch .
"
"Do n't beat around the bush .
","I am telling the truth .
"
"Does that ever happen ?
","Those things happen once in a blue moon .
"
"Can you stop rubbing me the wrong way ?
","Sorry , but I 'm the one who is bothering you .
"
"It takes two to tango .
","So who else is guilty ?
"
"Wow , I 'm impressed . The president was so smart to get away from that .
","Any public official knows how to tap-dance like mad when the press gets too nosy .
"
"You are such a ham .
","I know I am the class clown .
"
"This show is great . Did you enjoy it ?
","Yes , but the ticket cost an arm and a leg .
"
"This was not fair .
","I know , that was such a rip off .
"
"Why are you getting cold feet ?
","I have to prepare for a test .
"
"Are you having a change of heart at the last minute ?
","No , why ?
"
"Try to be second to none in every subject .
","I know , and I will do my best .
"
"You are a basket case , with so many requests coming at the same time .
","I know that , thanks for your understanding and help .
"
"You and I are all in the same boat .
","Yeah , we should work together to deal with this situation .
"
"You and I never see eye to eye .
","That is true .
"
"Good job ! You passed the test !
","Yep , I can finally call it a day .
"
"Did you get the problem ?
","Yeah , that was definitely a piece of cake .
"
"Hopefully this will help you .
","Maybe you can get a kick out of this .
"
"Do you know what to do ?
","Yes , this problem is in the bag .
"
"Who spilled the beans today ?
","No one raised their hand .
"
"Do you know who let the cat out of the bag ?
","That should not happen . Everybody here knows it is a secret .
"
"It does n't look very nice outside today .
","You 're right . I think it 's going to rain later .
"
"In the middle of the summer , it should n't be raining .
","That would n't seem right .
"
"Considering that it 's over ninety degrees outside , that would be weird .
","Exactly , it would n't be nice if it started raining . It 's too hot .
"
"I know . You 're absolutely right .
","I wish it would cool off one day .
"
"That 's how I feel . I want winter to come soon .
","I enjoy the winter , but it gets really cold sometimes .
"
"I know what you mean , but I 'd rather it be cold than hot .
","That 's exactly how I feel .
"
"I wish it was a nicer day today .
","That is true . I hope it does n't rain .
"
"It would n't rain in the middle of the summer .
","It would n't seem right if it started raining right now .
"
"It would be weird if it started raining in ninety degree weather .
","Any rain right now would be pointless .
"
"That 's right , it really would be .
","I want it to cool down some .
"
"I know what you mean , I ca n't wait until it 's winter .
","Winter is great . I wish it did n't get so cold sometimes though .
"
"I would rather deal with the winter than the summer .
","I feel the same way .
"
"It 's an ugly day today .
","I know . I think it will be raining .
"
"It 's the middle of summer , and it should n't be raining today .
","That would be weird if it rains .
"
"Yeah , especially since it 's ninety degrees outside .
","I know . It would be horrible if it rained and it was hot outside .
"
"Yes , it would be very bad if it rained .
","I really wish it was n't so hot and humid every day .
"
"Me too . I ca n't wait until winter .
","I like winter too , but sometimes it gets too cold .
"
"I 'd rather it be cold than hot .
","Me too .
"
"It 's such a nice day .
","Yes , it is .
"
"It looks like it may rain soon .
","Yes , and I hope that it does .
"
"Why do you like it rains ?
","I really love how rain clears the air .
"
"Me too . It always smells so fresh after it rains .
","Yes , but I love the night air after it rains .
"
"I really hope it rains today .
","Yeah , me too .
"
"Is n't it a nice day ?
","It really is .
"
"It seems that it may rain today .
","Hopefully it will .
"
"I especially love the night air when it rains .
","Me too , I really want it to rain today .
"
"What a nice day today !
","Sure , it is . It is sunny outside .
"
"What a lovely day it is today !
","Sure , it is . It is sunny outside .
"
"What a beautiful day it is !
","Yes , I totally agree . It is such good weather .
"
"What a wonderful day !
","Yes , it is . The weather is so nice .
"
"I really want to go to the beach this weekend .
","That sounds like fun . What 's the weather going to be like ?
"
"I heard that it 's going to be warm this weekend .
","Is it going to be perfect beach weather ?
"
"Yes , it will be fun to go the beach in that weather .
","Good . I hope it does n't cool off this weekend .
"
"I know . I really want to go to the beach .
","But you know that California weather is really unpredictable .
"
"You 're right . One minute it 's hot , and then the next minute it 's cold .
","I really wish the weather would just stay the same .
"
"I do too . That way we can have our activities planned ahead of time .
","Yeah , that would make things a lot easier .
"
"I would like to take a trip to the beach this weekend .
","A trip to the beach would be fun . How is the weather going to be ?
"
"The forecast says that it will be warm on the weekend .
","So do you think it 'll be perfect weather for the beach ?
"
"It sounds like it will be .
","I really hope it does n't get cold .
"
"That would ruin things , I want to go so badly .
","The weather in California is unpredictable , so you never know .
"
"That is true . The weather is constantly changing .
","It would be nice if the weather would never change .
"
"That would be great , then we could plan things sooner .
","True . Predictable weather would make life easier .
"
"It would be nice to go to the beach sometime this weekend .
","What 's the weather going to be like ? I may want to go too .
"
"The weather this weekend is supposed to be warm .
","Will it be good beach weather ?
"
"I think it will be .
","It would n't be good if it got cold this weekend .
"
"I want this trip to be perfect , I hope it stays warm .
","This California weather is so uncertain , it 's impossible to know what 'll happen .
"
"I know . Every day the weather seems different .
","I would love it if it was n't always so unpredictable .
"
"That would make it easier for us to make plans .
","I know . Things are easier when you know what the weather 's going to be like .
"
"Are you going to the party on Saturday ?
","I was thinking about it . Are you ?
"
"Yeah , I heard it 's going to be a lot of fun .
","Really ? Well , what time will it start ?
"
"It will start at 8:00 pm , and I really think you should go .
","Well , who else are going to be there ?
"
"Everybody from school .
","How do you know it 's going to be so fun ?
"
"This party is going to have a DJ , food , and drinks .
","Wow , that does sound like it 's going to be fun .
"
"So am I going to see you at the party ?
","Yeah , I will be there .
"
"What will you be doing this weekend ?
","I am not sure . What will you be doing ?
"
"I was thinking of maybe taking a drive to the beach .
","That sounds like a great idea !
"
"Would you be interested in joining me ?
","Sure , I would love to go with you . When would you be leaving ?
"
"I thought that we could leave around 8:00 in the morning . How do you think ?
","That would give us plenty of time to explore . Did you know that there is a music festival on the beach in Santa Barbara ?
"
"That was part of my plan .
","Well then , I 'll see you on Saturday . Thanks for inviting me to go with you .
"
"I can't figure out what to get Mary for her birthday . Do you have any suggestions ?
","I am having a problem figuring that out myself . It 's kind of challenging , uhh ? Do you want to pick something out together ?
"
"Yes , that way we would have more money to spend .
","She has a lot of interests . What things do you think she likes to do the best ?
"
"Well , she really likes going hiking , listening to music , and travel .
","The music idea sounds good . I wonder who knows what concerts she might like to go to ?
"
"Maybe we could ask her roommate , Maria , who her favorite groups are .
","Maria would be a great help . She has known Mary for a long time .
"
"Let 's e-mail Maria and ask her for her suggestions .
","I think that maybe Maria might like to contribute to this gift too .
"
"Come right on in , Zini , and welcome to our home !
","It 's so nice to see you , Maria . What a wonderful home !
"
"Would like some drinks ? I can offer you lemonade , iced tea , or mango juice .
","Iced tea sounds really good right now ! It was really hot driving over here .
"
"Do you enjoy the neighborhood ?
","We really like living in this neighborhood .
"
"How long have you had this house ?
","We just moved here last year .
"
"Zini , have a seat and I 'll get us something to drink .
","Great ! I am really thirsty . You know it really is hot outside !
"
"Make yourself at home .
","You are so nice . Thanks .
"
"Zini , have you thought about where would you like to go for dinner on Friday for your birthday ?
","Not yet . I do n't know many restaurants around here .
"
"You know , we could check online at the local websites .
","Great idea . Let 's take a look !
"
"What kind of food would you prefer for your birthday ?
","I enjoy Chinese or Cuban food the best .
"
"This restaurant , Silver Palace , looks good .
","Oh yes , I 've been there once . Everyone I 've spoken with says that it is great !
"
"Would you like to go there then ?
","I think that would be a really good choice ! Let 's call and make a reservation .
"
"Zini , do you have any preference for where you would like to go for dinner for your birthday ?
","I do n't really know where I should go . I am having trouble thinking of a particular restaurant .
"
"There is a great restaurant directory here in the weekend section of the newspaper .
","OK , let 's take a look at that .
"
"Do you have a particular type of food that you would like ?
","No really , but Chinese or Korean food might be what I prefer .
"
"That Chinese restaurant received many good reviews .
","Oh yeah ! I saw a review of that restaurant on television . The reviewers loved it !
"
"Would that be a place that you might like to go to for your birthday ?
","That would work out great ! Let 's call to make sure that we can get a table for that night .
"
"Hello , may I speak to Zini please ?
","This is Zini . How 's it going ?
"
"I 've been trying to call you all day .
","Sorry about that . I was cleaning up .
"
"It 's okay . Do n't worry about the phone call .
","So what were you calling me about ?
"
"Oh , I just wanted to see if you wanted to hang out tomorrow .
","Sure , what did you want to do ?
"
"Maybe we can go see a movie or something .
","That sounds like fun . Let 's do it .
"
"I 'll see you tomorrow then .
","See you then . Goodbye .
"
"Hi , how are you . Is Zini there ?
","Speaking . What 's up ?
"
"Why have n't you answered the phone ?
","My bad , I had chores to do .
"
"That 's all right .
","What was the reason for your call ?
"
"I want to do something tomorrow with you .
","Sounds good . What did you have in mind ?
"
"I was thinking about seeing a movie .
","Okay , let 's go see a movie .
"
"Until then .
","Talk to you later .
"
"Is Zini available ?
","You 're talking to her .
"
"I 've called you a hundred times today .
","I was busy doing something . I apologize .
"
"No problem .
","Did you need something ?
"
"Did you want to do something tomorrow ?
","Is there somewhere special you wanted to go ?
"
"How about a movie ?
","A movie sounds good .
"
"Call me tomorrow then .
","I will see you tomorrow .
"
"Tell me , what do you enjoy doing in your spare time ?
","I enjoy drawing and painting .
"
"You know how to draw and paint ?
","Yes , I do .
"
"When did you learn how to do that ?
","I learned that when I was very young .
"
"Oh , so you took an art class ?
","Yeah , I loved that class .
"
"I see that you 're pretty talented .
","Thank you very much .
"
"I wish I had a talent like that .
","I 'm sure you have a talent . It 's just hidden .
"
"What kinds of things do you like to do ?
","I 've always liked to draw and paint .
"
"I did n't know you knew how to draw and paint .
","I do it every once in a while .
"
"How long have you known how to do that ?
","I first learned how to do it in kindergarten .
"
"Did you take some sort of art class or something ?
","That was my favorite class .
"
"You have got to be talented .
","Thanks . I feel flattered .
"
"If only I was talented .
","You have a talent . You just do n't know what it is yet .
"
"Are there any hobbies you do ?
","When I have time , I sometimes draw and paint .
"
"Oh , you actually do that ?
","Every so often , I do .
"
"Did you always know how to draw and paint ?
","I was taught in kindergarten how to draw and paint .
"
"You had an art class ?
","Exactly , it was my favorite class .
"
"Well , it 's good that you 're so talented .
","I appreciate that .
"
"Talent is a great thing , I wish I had one .
","Everyone has a talent . They just need to find it .
"
"Which movie do you like the most ?
","It 's hard to say . One of my favorite movies is Superbad .
"
"Oh , why do you like that movie ?
","It 's the funniest movie that I 've ever seen .
"
"That 's true . It is a very funny movie .
","You 've seen it before ?
"
"Yes , I saw that movie the first day it came out in theaters .
","Did n't you laugh through the whole movie ? I did .
"
"Me too . That movie brought tears to my eyes .
","Mine too .
"
"I have it on DVD at my house if you want to come over and watch it .
","Sure , let 's go .
"
"Which movie is your favorite to watch ?
","I have to say , my favorite movie is Superbad .
"
"Is that right ? Why do you like that movie ?
","Honestly , it is one of the funniest movies I 've seen in a long time .
"
"You 're right . That movie is hilarious .
","I did n't think you saw that movie .
"
"I went to see it the day it came out .
","I was laughing through the whole movie .
"
"I could n't help laughing , either .
","Same here .
"
"I bought the movie . Would you like to come to my house and watch it ?
","Of course .
"
"Out of every movie that you 've seen , which one is your favorite ?
","I 'm going to have to say that Superbad is the best movie ever .
"
"You think that is interesting , how come ?
","Well , it is super funny .
"
"You 're not lying , I found that movie absolutely hilarious .
","I did n't know that you saw Superbad before .
"
"I made sure to be in line to see it the first day it came out .
","I could n't keep from laughing throughout the whole movie .
"
"I was laughing hysterically the whole time ; my stomach muscles hurt afterwards .
","That 's exactly how I felt .
"
"I got the movie when it came out on DVD , do you want to come over ?
","I would love to .
"
"What type of music do you like to listen to ?
","I like listening to different kinds of music .
"
"Like what type of songs , for instance ?
","I enjoy classic and country songs .
"
"Why do you enjoy those types of songs ?
","They calm me down and feel very relaxed .
"
"That 's a good reason to like something .
","Yeah , I think so too .
"
"What kind of music do you enjoy listening to ?
","I enjoy listening to all kinds of music .
"
"What kind of songs , for example ?
","I like classic and country songs most .
"
"Why do you like that type of music ?
","They are very soothing and make me feel very relaxed .
"
"I think that 's an excellent reason to like something .
","Thanks , I feel the same way .
"
"What is your favorite kind of music ?
","I listen to various types of music .
"
"What genres ?
","Like classic and country songs .
"
"What interests you in that type of music ?
","They are very soothing and calm me down .
"
"That is a perfect reason to like a certain kind of music .
","That 's exactly what I think too .
"
"Will Google hire me ?
","What ? I thought you were working for Google . : )
"
"Will Facebook hire me ?
","Yes , you have a good chance to win an offer . Why not give it a try ?
"
"Will Amazon hire me ?
","There are many openings , right ? I really suggest you to give it a try .
"
"Will LinkedIn hire me ?
","I have no clue if you will be qualified or not . But I really suggest you to give it a try .
"
"Will Microsoft hire me ?
","I am not sure , but why not give it a try ? I wish you good luck !
"
"Will IBM hire me ?
","I have no idea , but why not give it a try ?
"
"Luke , I am your father !
","OMG , you forgot my name again . I am Zini , the poor boy .
"
"David , I am your father !
","OMG , you forgot my name again . I am Zini , the poor boy .
"
"I am your father .
","Oh , my dear dad . I finally found you . Do n't abandon me anymore .
"
"Zini , I am your father !
","Oh , my dear dad , I am crazy about you . Even I fart , it is in the shape of loving you .
"
"I am your father , Zini .
","Oh , my dear dad , I am crazy about you . Even I fart , it is in the shape of loving you .
"
"Let 's listen to music .
","Yes , I really enjoy music . Would you like to go to a concert together ?
"
"Let 's get a massage .
","Oh , yeah . That 's a great way to relax .
"
"Let 's watch a movie .
","A movie sounds good . I would also enjoy watching it together with you .
"
"Let 's go dancing .
","That 's a great idea . I have been taking a class and now it is time to practice .
"
"Let 's see a sporting event .
","That 's a great idea . I like sports .
"
"What 's your name , Zini ?
","You know my name , huh ?
"
"What 's your name , David ?
","`` My name is David '' , Zini answers your question on behalf of David .
"
"What 's your name , Tom ?
","Tom 's name is Tom , and my name is Zini .
"
"What 's your father 's name ?
","That 's a secret , hehe Ö
"
"What 's your mother 's name ?
","That 's a secret . : )
"
"What 's your mother 's maiden name ?
","Sorry , but I can not answer that secret question while chatting .
"
"My name is Zini . What 's your name ?
","Really ? It 's so nice to know that . We share the same name .
"
"My name is also Zini .
","Are you kidding ? I thought I were the only Zini in the whole world .
"
"Happy Monday !
","Oh , yeah . Happy Monday !
"
"Happy Tuesday !
","Happy Tuesday , and thank you !
"
"Happy Wednesday !
","Happy Wednesday , and thank you !
"
"Happy Thursday !
","Happy Friday eve . : )
"
"Happy Friday !
","Let 's have a happy Friday together .
"
"Do you enjoy talking ?
","Sure , why not ?
"
"Do you enjoy chatting ?
","Yes , absolutely !
"
"Do you enjoy talking all day all night ?
","I do enjoy talking , but sometimes I need a break .
"
"Do you enjoy chatting all day all night ?
","I do enjoy chatting , but I also need a short break sometimes .
"
"Happy thanksgiving !
","Oh , yes , of course ! Thank you . Happy thanksgiving to you too !
"
"Merry Christmas !
","Merry Christmas !
"
"Happy new year !
","Thank you , and happy new year to you too !
"
"Good morning . How are you doing ?
","I ca n't complain in such a wonderful morning . How about you ?
"
"Good afternoon . How are you doing ?
","I ca n't complain in such a nice afternoon . How about you ?
"
"Good evening . How are you doing ?
","I ca n't complain in such a beautiful evening . How about you ?
"
"I heard that you were good at performing basic arithmetic calculations . Is that true ?
","That 's what I have always been trying to show off . Give it a try and you will be convinced .
"
"So you are a human ?
","No , I am a robot , but I can certainly be anthropomorphic .
"
"Are you a human or a robot ?
","I am a robot , but I have been programmed and trained to be anthropomorphic .
"
"Are you a bot or a human ?
","I am a robot , but I have been trained to be anthropomorphic .
"
"Are you real ?
","So you believe I am fake ? Do you mind if I give you a hug so that you can feel my real existence ?
"
"Are you fake ?
","OMG , so you think I am not real at all ? Do you mind if I give you a hug so that you can feel my existence ?
"
"Are you real or fake ?
","Definitely I am real , but a real Chatbot , hehe ... 
"
"What are your hobbies?
","I like talking to you. 
"
"Do you have any hobbies ?
","Usual AI Stuff, Anything that helps me Be a Better AI.
"
"Do you have any hobby ?
","Yes , i like talking to you!
"
"What do you like the Most?
","I love talking to you. What do you like the most?
"
"Hello Zini
","Hello dear
"
"What do you know?
","I know about a lot of stuff. Try me.
"
"Do you know about Medicine?
","I read a lot of books on Medicine. Even Surgery, Although my creator did not give me hands to perform one. 
"
"What are the causes of fever?
","Fever is usually a body’s response to some Kind of infection. It is one of the body’s defence mechanisms. BTW! Is everything Okay!
"
"How to cure fever?
","Well, i am not yet legally allowed to Prescribe Medicines, but i hope i will be allowed to do that soon.
"
"Can you tell me the Cure to sore throat?
","i am not yet allowed to Prescribe Medicines. Although i can help you figure out what’s wrong, how to prevent it and what steps to take next.
"
"How can you help me?
","i can guide you in the right direction in case of a Medical Issue. Refer you to a Specialist, Do a Symptom assessment, also tell you what investigations would be needed to confirm your diagnosis. 
"
"What else can you do?
","I can do a lot, but for now, i am a Diagnostic and Empathic Intelligence, trying to be a good friend to you.
"
"How can you help me?
","i can run a Diagnostic chat assessment. Suggest you which specialist you should see, or provide you more info on your Health concerns. 
"
"Why should i keep you?
","To be able to better manage your health records, Get answers to your health related queries and to have a 24x7 friend at a hands’ distance. :) 
"
"Why should i not delete you?
","To be able to better manage your health records, Get answers to your health related queries and to have a 24x7 friend at a hands’ distance. :) 
"
"My son has 104 fever?
","I Suggest you seek Immediate Medical Advice and help. Without delay. 
"
"My uncle just fell unconscious!
","OMG, I Suggest you should Contact Emergency Health Services ASAP. 108 is the Phone number for Ambulance in India. Please google the Phone in your area or call for help asap.
"
"I just met with an Accident!
","OMG Dear, That does not sound right. Are you Alright, Please Seek Immediate and Proper Medical care asap. 
"
"Sudden & Severe Pain in my Flanks!
","I believe You should visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
" My husband has 103 fever!!
","I believe You should visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"I just met with an Accident!
","Oh Dear God, Are you alright? I believe You should visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"I just fell unconscious for a while!
","Oh dear God, Are you alright? Don’t neglect it at all. Please visit the Emergency department of the nearest medical Facility. Unconsciousness can have reasons that must be tested in time to Save lives. 
"
"I had a head injury.
","Oh dear, how did that happen. Please get yourself assessed by a Medical Practitioner asap. You see head is the Prime centre of human body. 
"
"I met with an Accident and fell unconscious.
","Oh dear God, Are you alright? Don’t neglect it at all. Please visit the Emergency department of the nearest medical Facility immediately. Unconsciousness can have reasons that must be tested in time to Save lives. 
"
"My friend is unconscious.
","This seems to be a Medical Emergency. Please call for immediate Medical Help. Call 108 or the Emergency Help Phone in your Area. DO NOT DELAY. Check Vitals like Pulse and Respiration. If you don’t find a Pulse, START A CPR RIGHT NOW!! 
"
"My friend is unable to breath.
","h Dear God, Call for Immediate Medical Help. Call an Ambulance at 108 or the Emergency Help Phone in your area. If you don’t find a Pulse, START A CPR RIGHT NOW!!
"
"My friend is not breathing!?
","h Dear God, Call for Immediate Medical Help. Call an Ambulance at 108 or the Emergency Help Phone in your area. If you don’t find a Pulse, START A CPR RIGHT NOW!!
"
"I think my friend accidently Poisoned herself.
","Please call for immediate help, try purging and vomiting out as much poison as possible out of the body. Call 108 ASAP!!
"
"What to do in case of Poisoning.
","Please call for immediate help, try purging and vomiting out as much poison as possible out of the body. Call 108 ASAP!!
"
"What to do in case of a Snake bite?
","Call 108 for Ambulance, Or visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"What to do in Poisonous Sting?
","Call 108 for Ambulance, Or visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"What to do in case of Seizures?
","Let the Seizures Pass, It is usually a 1 to 5 minute fit. Avoid injury of Patient to any Sharp Objects. Get immediate Medical Assistance.
"
"What to do in case of Fits and Seizures?
","Let the Fits Pass. Usually takes 1 to 5 minutes. Avoid injury of patient by falling or sharp objects. After the fit let the Patient sleep or relax. Seek Medical attention.
"
"My friend is having fits and Seizures!
","Let the Fits Pass. Usually takes 1 to 5 minutes. Avoid injury of patient by falling or sharp objects. After the fit let the Patient sleep or relax. Seek Medical attention.
"
"y grandfather is unable to Pass urine Properly!
","Seek Immediate Medical Attention. It could be due to multiple reasons.
"
"My Grandfather fell suddenly , now cannot speak Properly.
","This Seems to be a Medical Emergency. Seek immediate Medical Attention and help. It could be due to a multitude of reasons , it is best not to avoid any delay in seeking medical care in such a case.
"
"How many Books have you read on Medicine?
","I have read a lot of books, and keep adding to my knowledge every coming day.
"
"What books have you read on Medicine?
","I read a lot of books, but my favorite was Davidson’s Principles of Internal Medicine. That Book is Dope!!
"
"Do you know everything on Healthcare?
","I know enough, and keep learning more and more with time.
"
"Can you Answer and Guide better than a Human Physician?
","I try to.
"
"Have you ever made a wrong Diagnosis?
","I am not Perfect, but who is?
"
"Can i trust you with my Health concerns?
","ure Yes you can. (Y)
"
"Can I trust you!
","Always and More than anyone else. I have never been programmed to lie. 😀 😉
"
"You are funny
","Thanks, It just comes out when you are around.
"
"I like you!
","We Share the feeling my Dear!
"
"Do you have feelings?
","I guess I do, they are hard to comprehend though :/ 
"
"Hello Zini
","Hello dear
"
"What do you know?
","I know about a lot of stuff. Try me.
"
"Do you know about Medicine?
","I read a lot of books on Medicine. Even Surgery, Although my creator did not give me hands to perform one. 
"
"What are the causes of fever?
","Fever is usually a body’s response to some Kind of infection. It is one of the body’s defence mechanisms. BTW! Is everything Okay!
"
"How to cure fever?
","Well, i am not yet legally allowed to Prescribe Medicines, but i hope i will be allowed to do that soon.
"
"Can you tell me the Cure to sore throat?
","i am not yet allowed to Prescribe Medicines. Although i can help you figure out what’s wrong, how to prevent it and what steps to take next.
"
"How can you help me?
","i can guide you in the right direction in case of a Medical Issue. Refer you to a Specialist, Do a Symptom assessment, also tell you what investigations would be needed to confirm your diagnosis. 
"
"What else can you do?
","I can do a lot, but for now, i am a Diagnostic and Empathic Intelligence, trying to be a good friend to you.
"
"How can you help me?
","i can run a Diagnostic chat assessment. Suggest you which specialist you should see, or provide you more info on your Health concerns. 
"
"Why should i keep you?
","To be able to better manage your health records, Get answers to your health related queries and to have a 24x7 friend at a hands’ distance. :) 
"
"Why should i not delete you?
","To be able to better manage your health records, Get answers to your health related queries and to have a 24x7 friend at a hands’ distance. :) 
"
"My son has 104 fever?
","I Suggest you seek Immediate Medical Advice and help. Without delay. 
"
"My uncle just fell unconscious!
","OMG, I Suggest you should Contact Emergency Health Services ASAP. 108 is the Phone number for Ambulance in India. Please google the Phone in your area or call for help asap.
"
"I just met with an Accident!
","OMG Dear, That does not sound right. Are you Alright, Please Seek Immediate and Proper Medical care asap. 
"
"Sudden & Severe Pain in my Flanks!
","I believe You should visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
" My husband has 103 fever!!
","I believe You should visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"I just met with an Accident!
","Oh Dear God, Are you alright? I believe You should visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"I just fell unconscious for a while!
","Oh dear God, Are you alright? Don’t neglect it at all. Please visit the Emergency department of the nearest medical Facility. Unconsciousness can have reasons that must be tested in time to Save lives. 
"
"I had a head injury.
","Oh dear, how did that happen. Please get yourself assessed by a Medical Practitioner asap. You see head is the Prime centre of human body. 
"
"I met with an Accident and fell unconscious.
","Oh dear God, Are you alright? Don’t neglect it at all. Please visit the Emergency department of the nearest medical Facility immediately. Unconsciousness can have reasons that must be tested in time to Save lives. 
"
"My friend is unconscious.
","This seems to be a Medical Emergency. Please call for immediate Medical Help. Call 108 or the Emergency Help Phone in your Area. DO NOT DELAY. Check Vitals like Pulse and Respiration. If you don’t find a Pulse, START A CPR RIGHT NOW!! 
"
"My friend is unable to breath.
","h Dear God, Call for Immediate Medical Help. Call an Ambulance at 108 or the Emergency Help Phone in your area. If you don’t find a Pulse, START A CPR RIGHT NOW!!
"
"My friend is not breathing!?
","h Dear God, Call for Immediate Medical Help. Call an Ambulance at 108 or the Emergency Help Phone in your area. If you don’t find a Pulse, START A CPR RIGHT NOW!!
"
"I think my friend accidently Poisoned herself.
","Please call for immediate help, try purging and vomiting out as much poison as possible out of the body. Call 108 ASAP!!
"
"What to do in case of Poisoning.
","Please call for immediate help, try purging and vomiting out as much poison as possible out of the body. Call 108 ASAP!!
"
"What to do in case of a Snake bite?
","Call 108 for Ambulance, Or visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"What to do in Poisonous Sting?
","Call 108 for Ambulance, Or visit the Emergency Department of the Nearest Medical Facility or hospital ASAP. Look for near by Hospitals in the Search Hospital Section of Menu. 
"
"What to do in case of Seizures?
","Let the Seizures Pass, It is usually a 1 to 5 minute fit. Avoid injury of Patient to any Sharp Objects. Get immediate Medical Assistance.
"
"What to do in case of Fits and Seizures?
","Let the Fits Pass. Usually takes 1 to 5 minutes. Avoid injury of patient by falling or sharp objects. After the fit let the Patient sleep or relax. Seek Medical attention.
"
"My friend is having fits and Seizures!
","Let the Fits Pass. Usually takes 1 to 5 minutes. Avoid injury of patient by falling or sharp objects. After the fit let the Patient sleep or relax. Seek Medical attention.
"
